Side 1,Leaders 1,Strength 1,Casualties 1,Side 2,Leaders 2,Strength 2,Casualties 2
{{flag|United States}},{{Flagdeco|Iraq}},{{flag|United States}},"'''List of Iraqi security forces fatality reports in Iraq|Iraqi Security Forces''' (post-Saddam)'''Killed:''' 17,690ref260 killed in 2003,http://www.abc.net.au/news/stories/2003/12/19/1013869.htm] 15,196 killed from 2004 through 2009 (with the exceptions of May 2004 and March 2009),https://www.theguardian.com/world/2010/oct/22/true-civilian-body-count-iraq] 67 killed in March 2009,http://hello.news352.lu/edito-4036-march-violence-claims-252-iraqi-lives.html] 1,100 killed in 2010,http://articles.cnn.com/2011-01-02/world/iraq.casualty.figures_1_iraqi-police-mosul-police-iraqi-troops?_s=PM:WORLD] {{webarchive|url=https://web.archive.org/web/20130116094430/http://articles.cnn.com/2011-01-02/world/iraq.casualty.figures_1_iraqi-police-mosul-police-iraqi-troops?_s=PM%3AWORLD |date=16 January 2013 }} and 1,067 killed in 2011,https://docs.google.com/spreadsheet/ccc?key=0Aia6y6NymliRdEZESktBSWVqNWM1dkZOSGNIVmtFZEE#gid=4] thus giving a total of 17,690 dead&lt;/ref&gt;'''Wounded:''' 40,000+ref{{cite web |url=https://fpc.state.gov/documents/organization/77707.pdf |title=Iraq War |publisher=U.S. Department of State |accessdate=18 November 2012}}&lt;/ref&gt;'''Multi-National Force&nbsp;– Iraq|Coalition forces''''''Killed:''' 4,815ref name=""icas""{{cite web|url=http://icasualties.org/Iraq/index.aspx |title=Operation Iraqi Freedom |publisher=iCasualties |accessdate=24 August 2010 |deadurl=yes |archiveurl=https://web.archive.org/web/20110321080348/http://icasualties.org/Iraq/index.aspx |archivedate=21 March 2011 |df= }}&lt;/ref&gt;ref{{cite news | url=http://www.cnn.com/SPECIALS/2003/iraq/forces/casualties/index.html |publisher=CNN |accessdate=30 March 2010 |title=Home and Away: Iraq and Afghanistan War Casualties}}&lt;/ref&gt; (4,497 U.S.,ref{{cite web|url=http://www.defense.gov/casualty.pdf |format=PDF|title=Casualty|accessdate=29 June 2016}}&lt;/ref&gt; 179 UK,ref{{cite web |url=http://www.mod.uk/DefenceInternet/FactSheets/OperationsFactsheets/OperationsInIraqBritishFatalities.htm |title=Fact Sheets &amp;#124; Operations Factsheets &amp;#124; Operations in Iraq: British Fatalities |publisher=Ministry of Defence of the United Kingdom |accessdate=17 October 2009 |archiveurl=https://web.archive.org/web/20091011220157/http://www.mod.uk/DefenceInternet/FactSheets/OperationsFactsheets/OperationsInIraqBritishFatalities.htm |archivedate=11 October 2009}}&lt;/ref&gt; 139 other)ref name=""icas""'''Missing/captured''' (U.S.): 17 (8 rescued, 9 died in captivity)ref{{cite news | url=http://www.cnn.com/2013/10/30/world/pow-and-mia-in-iraq-and-afghanistan-fast-facts |publisher=CNN |accessdate=5 June 2014 | title=POW and MIA in Iraq and Afghanistan Fast Facts}}; As of July 2012, seven American private contractors remain unaccounted for. Their names are: Jeffrey Ake, Aban Elias, Abbas Kareem Naama, Neenus Khoshaba, Bob Hamze, Dean Sadek and Hussain al-Zurufi. Healy, Jack, ""https://www.nytimes.com/2011/05/22/world/middleeast/22missing.html?pagewanted=all With Withdrawal Looming, Trails Grow Cold For Americans Missing In Iraq]"", ''The New York Times'', 22 May 2011, p. 6.&lt;/ref&gt;'''Wounded''': 32,776+ (32,249 U.S.,ref{{cite web|url=http://www.defense.gov/NEWS/casualty.pdf |title=Casualty |publisher=U.S. Department of Defense |accessdate=18 November 2012 |deadurl=yes |archiveurl=https://web.archive.org/web/20130116062321/http://www.defense.gov/news/casualty.pdf |archivedate=16 January 2013 |df= }}&lt;/ref&gt; 315 UK, 212+ otherref33 Ukrainians http://www.reliefweb.int/rw/RWB.NSF/db900SID/DPAS-6K9H5Y?OpenDocument], 31+ Italians http://www.sfgate.com/cgi-bin/article.cgi?file=/c/a/2003/11/13/MNGJ730QPA1.DTL] http://www.middle-east-online.com/english/?id=9524], 30 Bulgarians http://news.bbc.co.uk/2/hi/europe/3355749.stm] http://www.novinite.com/view_news.php?id=33103], 20 Salvadorans https://www.usatoday.com/news/world/iraq/2009-02-07-salvador-iraq_N.htm], 19 Georgians http://www.civil.ge/eng/article.php?id=18470], 18 Estonians http://www.globalsecurity.org/military/library/news/2009/02/mil-090209-rianovosti06.htm], 16+ Poles http://www.novinite.com/view_news.php?id=33116] {{cite web |url=http://iraq.pigstye.net/article.php/JuraTomasz/print |title=Archived copy |accessdate=2011-01-07 |deadurl=yes |archiveurl=https://web.archive.org/web/20070612101918/http://iraq.pigstye.net/article.php/JuraTomasz/print |archivedate=12 June 2007 |df=dmy-all }} https://web.archive.org/web/20110501084237/http://www.highbeam.com/doc/1P2-16186603.html] {{cite web |url=http://www.militaryphotos.net/forums/showthread.php?19484-Two-Polish-Soldiers-Dead-Five-Injured-in-Iraq-PAP |title=Archived copy |accessdate=2011-01-07 |deadurl=yes |archiveurl=https://web.archive.org/web/20110514052449/http://www.militaryphotos.net/forums/showthread.php?19484-Two-Polish-Soldiers-Dead-Five-Injured-in-Iraq-PAP |archivedate=14 May 2011 |df=dmy-all }} http://spectator.sme.sk/articles/view/25148], 15 Spaniards http://www.foxnews.com/story/0,2933,104369,00.html] http://www.thinkspain.com/news-spain/17607/soldier-dead-after-attack-on-spanish-convoy-in-afghanistan] http://www1.albawaba.com/news/five-spanish-soldiers-four-us-troops-injured-iraq-bomb-attacks] http://english.peopledaily.com.cn/200404/09/eng20040409_139905.shtml], 10 Romanians http://english.people.com.cn/90001/90777/90853/6708832.html], 6 Australians {{cite web |url=http://www.canberratimes.com.au/news/local/news/general/combat-troops-pull-out-of-iraq/780839.aspx |title=Archived copy |accessdate=6 January 2011 |deadurl=yes |archiveurl=https://web.archive.org/web/20110428201646/http://www.canberratimes.com.au/news/local/news/general/combat-troops-pull-out-of-iraq/780839.aspx |archivedate=28 April 2011 }}, 5 Albanians, 4 Kazakhs {{cite web |url=http://iraq.pigstye.net/article.php/20050112090041443/print |title=Archived copy |accessdate=2011-01-07 |deadurl=yes |archiveurl=https://web.archive.org/web/20120130025416/http://iraq.pigstye.net/article.php/20050112090041443/print |archivedate=30 January 2012 |df=dmy-all }}, 3 Filipinos {{cite web |url=http://asianjournalusa.com/rp-troops-to-stay-in-iraq-despite-ambush-p929-67.htm |title=Archived copy |accessdate=2011-01-06 |deadurl=yes |archiveurl=https://web.archive.org/web/20110707174014/http://asianjournalusa.com/rp-troops-to-stay-in-iraq-despite-ambush-p929-67.htm |archivedate=7 July 2011 |df=dmy-all }} and 2 Thais http://www.abc.net.au/news/stories/2003/12/23/1015519.htm] http://www.asiantribune.com/news/2003/12/28/iraqi-insurgency-2-thai-soldiers-killed-1-injured-br-0] for a total of 212+&lt;/ref&gt;)ref name=milMany official U.S.&amp;nbsp;tables at http://siadapp.dmdc.osd.mil/personnel/CASUALTY/castop.htm ""Military Casualty Information""] {{webarchive|url=https://web.archive.org/web/20110303054755/http://siadapp.dmdc.osd.mil/personnel/CASUALTY/castop.htm |date=3 March 2011 }}. See http://siadapp.dmdc.osd.mil/personnel/CASUALTY/OIF-Total.pdf latest totals for injury, disease/other medical] {{webarchive|url=https://web.archive.org/web/20110602035127/http://siadapp.dmdc.osd.mil/personnel/CASUALTY/oif-total.pdf |date=2 June 2011 }}&lt;/ref&gt;ref name=antiwarcasualtieshttp://www.antiwar.com/casualties/ ""Casualties in Iraq""].&lt;/ref&gt;ref name=icasualtiesiCasualties.org (was lunaville.org). Benicia, California. Patricia Kneisler, ''et al.'', http://icasualties.org/Iraq/index.aspx ""Iraq Coalition Casualties""] {{webarchive|url=https://web.archive.org/web/20110321080348/http://icasualties.org/Iraq/index.aspx |date=21 March 2011 }}&lt;/ref&gt;ref name=ukcasualtieshttp://www.mod.uk/DefenceInternet/FactSheets/OperationsFactsheets/OperationsInIraqBritishCasualties.htm ""Defence Internet Fact Sheets Operations in Iraq: British Casualties""]  {{webarchive|url=https://web.archive.org/web/20061114214203/http://www.mod.uk/DefenceInternet/FactSheets/OperationsFactsheets/OperationsInIraqBritishCasualties.htm |date=14 November 2006 }}. UK Ministry of Defense. http://www.mod.uk/DefenceInternet/AboutDefence/CorporatePublications/DoctrineOperationsandDiplomacyPublications/OperationsInIraq/OpTelicCasualtyAndFatalityTables.htm Latest combined casualty and fatality tables] {{webarchive|url=https://web.archive.org/web/20121004051608/http://www.mod.uk/DefenceInternet/AboutDefence/CorporatePublications/DoctrineOperationsandDiplomacyPublications/OperationsInIraq/OpTelicCasualtyAndFatalityTables.htm |date=4 October 2012 }}.&lt;/ref&gt;'''Injured/diseases/other medical'''*: 51,139 (47,541 U.S.,ref{{cite web |url=http://siadapp.dmdc.osd.mil/personnel/CASUALTY/oif-total.pdf |title=Archived copy |accessdate=2016-02-07 |deadurl=yes |archiveurl=https://web.archive.org/web/20110602035127/http://siadapp.dmdc.osd.mil/personnel/CASUALTY/oif-total.pdf |archivedate=2 June 2011 |df=dmy-all }}&lt;/ref&gt; 3,598 UK)ref name=milref name=icasualtiesref name=ukcasualties'''Private military company|Contractors''''''List of private contractor deaths in Iraq|Killed''': 1,554ref name=""dol.gov""{{cite web |url=http://www.dol.gov/owcp/dlhwc/dbaallnation.htm |title=Office of Workers' Compensation Programs (OWCP) &#8211; Defense Base Act Case Summary by Nation |publisher=U.S.&amp;nbsp;Department of Labor |accessdate=15 December 2011}}&lt;/ref&gt;ref name=""projects.propublica.org""{{cite web |author=T. Christian Miller |url=http://projects.propublica.org/tables/contractor_casualties |title=U.S.&amp;nbsp;Government Private Contract Worker Deaths and Injuries |publisher=Projects.propublica.org |date=23 September 2009 |accessdate=23 October 2010 |deadurl=yes |archiveurl=https://web.archive.org/web/20110727185847/http://projects.propublica.org/tables/contractor_casualties |archivedate=27 July 2011 |df=dmy-all }}&lt;/ref&gt;'''Wounded & injured''': 43,880ref name=""dol.gov""ref name=""projects.propublica.org""'''Sons of Iraq|Awakening Councils''''''Killed:''' 1,002+ref185 in Diyala from June 2007 to December 2007,https://www.nytimes.com/2008/01/24/world/middleeast/24sunni.html?pagewanted=print] 4 in assassination of Abdul Sattar Abu Risha|Abu Risha, 25 on 12 November 2007,http://www.cbsnews.com/stories/2007/11/15/iraq/main3504599.shtml?source=RSSattr=HOME_3504599] 528 in 2008,http://www.cfr.org/iraq/finding-place-sons-iraq/p16088] 27 on 2 January 2009,https://www.nytimes.com/2009/01/03/world/middleeast/03iraq.html] 53 From 6 to 12 April 2009,http://www.alternet.org/world/136476/sunni_iraqis_fear_a_bloodbath_of_reprisal_after_possible_u.s._exit/?page=1] 13 on 16 November 2009,{{cite web |url=http://www.france24.com/en/node/4926131 |title=Archived copy |accessdate=2011-02-14 |deadurl=yes |archiveurl=https://web.archive.org/web/20110429002216/http://www.france24.com/en/node/4926131 |archivedate=29 April 2011 |df=dmy-all }} 15 in December 2009,https://www.nytimes.com/2009/12/30/world/middleeast/30iraq.html?_r=1] 100+ from April to June 2010,http://english.aljazeera.net/news/middleeast/2010/06/20106653940383435.html#] http://www.npr.org/templates/story/story.php?storyId=128084675] 52 on 18 July 2010,https://www.theguardian.com/world/2010/jul/18/iraq-suicide-bombings-kill-militia] http://www.businessweek.com/news/2010-07-18/bombs-targeting-sons-of-iraq-leave-at-least-44-dead.html] total of 1,002+ dead  {{webarchive|url=https://web.archive.org/web/20090418161020/http://www.nytimes.com/2008/01/24/world/middleeast/24sunni.html?pagewanted=print |date=18 April 2009 }}&lt;/ref&gt;'''Wounded:''' 500+ (2007),ref{{cite news |url=https://www.nytimes.com/2008/01/24/world/middleeast/24sunni.html?_r=1&amp;pagewanted=print |work=The New York Times |first1=Solomon |last1=Moore |first2=Richard A. |last2=Oppel |title=Attacks Imperil U.S.-Backed Militias in Iraq |date=24 January 2008}}&lt;/ref&gt; 828 (2008)ref{{cite web |author=Greg Bruno |url=http://www.cfr.org/iraq/finding-place-sons-iraq/p16088 |title=Finding a Place for the 'Sons of Iraq' |publisher=Council on Foreign Relations |accessdate=26 December 2011}}&lt;/ref&gt;'''Total dead: 25,285 (+12,000 policemen killed 2003-2005)"""" '''Total wounded: 117,961'''",{{flagdeco|Iraq|1991}},{{flagdeco|Iraq|1991}},"File:Coat of arms (emblem) of Iraq 1991-2004.svg|20px '''Iraqi Armed Forces''': 375,000 (disbanded in 2003)File:Iraqi Republican Guard Symbol.svg|15px Special Republican Guard (Iraq)|Special Iraqi Republican Guard: 12,000File:Iraqi Republican Guard Symbol.svg|15px Republican Guard (Iraq)|Iraqi Republican Guard: 70,000–75,000File:Fedayeen Saddam SSI.svg|20px Fedayeen Saddam: 30,000----'''Iraqi insurgency (2003–11)#Sunni Militias|Sunni Insurgents'''≈70,000 (2007)ref name=brookingsThe Brookings Institution http://www3.brookings.edu/fp/saban/iraq/index.pdf Iraq Index: Tracking Variables of Reconstruction &amp; Security in Post-Saddam Iraq] {{webarchive|url=https://web.archive.org/web/20071002041710/http://www3.brookings.edu/fp/saban/iraq/index.pdf |date= 2 October 2007 }} 1 October 2007&lt;/ref&gt;'''al-Qaeda'''≈1,300 (2006)refPincus, Walter. https://www.washingtonpost.com/wp-dyn/content/article/2006/11/16/AR2006111601509.html ""Violence in Iraq Called Increasingly Complex""]. ''The Washington Post,'' 17 November 2006.&lt;/ref&gt;'''Islamic State of Iraq'''≈1,000 (2008) '''Army of the Men of the Naqshbandi Order'''≈500–1,000 (2007)","'''Iraqi combatant dead''' (invasion period): 7,600–10,800refPress release (28 October 2003). http://www.commondreams.org/news2003/1028-01.htm ""New Study Finds: 11,000 to 15,000 Killed in Iraq War; 30 Percent are Non-Combatants; Death Toll Hurts Postwar Stability Efforts, Damages US Image Abroad""]. Project on Defense Alternatives (''via'' Common Dreams NewsCenter). Retrieved 2 September 2010. {{webarchive |url=https://web.archive.org/web/20061017165045/http://www.commondreams.org/news2003/1028-01.htm |date=17 October 2006 }}&lt;/ref&gt;refConetta, Carl (23 October 2003). http://www.comw.org/pda/0310rm8.html ""The Wages of War: Iraqi Combatant and Noncombatant Fatalities in the 2003 Conflict&amp;nbsp;&#8212; Project on Defense Alternative Research Monograph #8""]. Project on Defense Alternatives (''via'' Commonwealth Institute (Cambridge, Massachusetts)|Commonwealth Institute). Retrieved 2 September 2010.&lt;/ref&gt;, '''Insurgents''' (post-Saddam)'''Killed:''' 26,544 (2003–11)ref597 killed in 2003,https://www.usatoday.com/news/world/iraq/2007-09-26-insurgents_N.htm], 23,984 killed from 2004 through 2009 (with the exceptions of May 2004 and March 2009),https://www.theguardian.com/world/2010/oct/22/true-civilian-body-count-iraq] 652 killed in May 2004,http://www.iraqbodycount.org/analysis/numbers/warlogs/] 45 killed in March 2009,http://www.reliefweb.int/rw/rwb.nsf/db900sid/CJAL-7QPQB7?OpenDocument] 676 killed in 2010,https://www.bloomberg.com/news/2010-12-30/iraq-civilian-deaths-drop-for-third-year-as-toll-eases-after-u-s-drawdown.html] and 590 killed in 2011,https://docs.google.com/spreadsheet/ccc?key=0Aia6y6NymliRdEZESktBSWVqNWM1dkZOSGNIVmtFZEE#gid=4] thus giving a total of 26,544 dead&lt;/ref&gt;'''Detainees:''' 12,000 (Iraqi-held)ref name=""cnn1""{{cite news|url=http://articles.cnn.com/2010-09-13/world/iraq.detainees_1_detainees-iraqi-authorities-moussawi?_s=PM:WORLD|title=Amnesty: Iraq holds up to 30,000 detainees without trial|publisher=CNN|date=13 September 2010|accessdate=6 January 2011|deadurl=yes|archiveurl=https://web.archive.org/web/20101023155150/http://articles.cnn.com/2010-09-13/world/iraq.detainees_1_detainees-iraqi-authorities-moussawi?_s=PM%3AWORLD|archivedate=23 October 2010|df=dmy-all}}&lt;/ref&gt;'''Total dead: 34,144–37,344'''"
{{flag|Australia}},{{flagicon|United Kingdom}},"~34,000 troops50+ aircraft1 HMS Glengyle|landing ship5 cruisers8 destroyers","{{circa|4,652}}",{{flag|Vichy France}},{{flagicon|Vichy France}},"45,000 troops90 tanks289 aircraft2 Guépard class destroyer|destroyers3 submarines","6,352 (Vichy figures) 8,912 (British figures)179 aircraft1 submarine sunk5,668 defected|defectors"
{{flag|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},'''Soviet:'''3 armies'''Commonwealth:'''2 divisions and 3 brigades 4 sloops1 gunboat1 corvette1 armed merchant cruiser1 armed yachtUnknown number of auxiliary vessels,"'''Soviet:'''40 Killed in action|KIA3 planes lost'''Commonwealth:'''22 Killed in action|KIAref name=""CM136""Compton Mackenzie, ''Eastern Epic'', p.136&lt;/ref&gt;50 Wounded in action|WIAref name=""CM136""1 tank destroyed",{{flagicon image|State_Flag_of_Iran_(1964-1980).svg}},{{KIA}},9 divisions60 aircraft2 sloops4 patrol boats,"~800 Killed in action|KIA2 sloops sunk,2 patrol boats captured6 planes lost"
{{flag|United States|1912}},{{flagicon|United States|1912}},"'''Ground forces:''' 107,000 troops33,000 in Morocco39,000 near Algiers35,000 near Oran'''Naval activity:'''350 warships500 transports'''Total: 850'''",{{HMS|Avenger|D14}},{{flagicon|France}},{{flagicon|France}},'''Ground forces:'''210 tanks500 aircraftmany shore batteries and artillery pieces'''Naval activity:'''1 battleship (partially armed)10 other warships11 submarines'''Germany:''' 14 submarines'''Italy''': 14 submarinesrefhttp://www.societaitalianastoriamilitare.org/COLLANA%20SISM/2015%20MATTESINI%20I%20sommergibili%20dell'asse%20e%20l'Operazione%20Torch%201942.pdf I sommergibili dell'Asse e l'Operazione Torch.]&lt;/ref&gt;,"'''France:'''1,346+ dead1,997 woundedseveral shore batteries destroyedall artillery pieces captured1 light cruiser lost5 destroyers lost6 submarines lost2 flotilla leaders lost'''Germany:''' 8 submarines lost by 17 November'''Italy:''' 2 submarines lost by 17 Novemberref''Granito'' and ''Emo''. ''Navi militari perdute'', Italian Navy Historical Branch, page 61-62.&lt;/ref&gt;"
{{flag|United States|1912}},{{flagicon|United States|1912}},"2 destroyers, 622 troops","1 destroyer sunk, 22 killed, 55 woundedrefG. H. Howe, Northwest Africa: Seizing the initiative, CHM Pub, 1993 http://www.history.army.mil/html/books/006/6-1-1/CMH_Pub_6-1-1.pdf&lt;/ref&gt;,  All landed infantry captured",{{flagicon|France}},{{flagicon|France}},"5th company of 13ème Régiment de Tirailleurs Sénégalais,  Costal defense units, Armored cars from 5th Régiment de Chasseurs d'Afrique","? dead, ? wounded"
{{flag|United States|1912}},{{flagicon|United States|1912}},1 aircraft carrier1 escort carrier1 battleship3 heavy cruisers1 light cruiser14 destroyers15 troopships347 landing craftunknown aircraft,4 troopships sunk~150 landing craft sunk4–5 aircraft destroyed1 battleship damaged1 heavy cruiser damaged2 destroyers damaged1 oiler damaged~174 killedunknown wounded,{{flag|Vichy France}},{{flagicon|Vichy France|naval}},'''Vichy France:'''1 battleship (partially armed)1 light cruiser2 flotilla leaders7 destroyers8 sloops11 Minesweeper (ship)|minesweepers11 submarinesunknown aircraftunknown artillery battery|shore batteries----'''Germany:'''~2 submarinesunknown aircraft,{{flagicon|France}}
{{flag|United Kingdom}},{{flagicon|United States|1912}},"'''March:''', 500,000 troops, 1,800+ tanks, 1,200+ field guns, Thousands of aircraftref name=""Mitcham78""Mitcham, p. 78&lt;/ref&gt;","{{#tag:ref|183 lost in the Battle of Kasserine Pass, 6 lost in the Battle of Medenine, 40 lost in the Battle of El Guettar, 16 lost in Operation Oxhead (Operation Ochsenkopf), at least 51 lost in the Battle of the Mareth Line, 32 lost in the Battle of Wadi Akarit, 12 lost in Operation Vulcan and several more lost in minor battles.|citation needed|date|=|January 2016|group|=|nb}}",{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},"{{#tag:ref|2/3 of the combat troops and 1/3 of the support troops were Germans|ref| name=""Mitcham78""|group|=|nb}}","{{#tag:ref|Mitcham lists the following tank losses with no upper limit and no noted losses to mechanical breakdowns. 34 (20 German, 14 Italian) lost in the Battle of Kasserine Pass, 55 (40 German, 15 Italian) lost in the Battle of Medenine, 45 (mostly German) lost in the Battle of El Guettar, 71 (all German) lost in Operation Oxhead (Operation Ochsenkopf) and 200+ operational tanks (mostly German) lost in actions after March 9. Mitcham also notes that a very large number of tanks were not operational at the time due to previous mechanical issues; for instance, by April 22, only 45% of German tanks were operational, with the rest confined to workshops. Therefore the actual number of tanks lost after March 9 is possibly around 450 rather than 200.|ref|Mitcham, pp. 56 to 84.||group|=|nb}}"
{{flag|United States|1912}},{{flagicon|United States|1912}},"30,000ref name=r74 ","Including Sidi Bou Zid:10,000 ref name=r74Rottmann, p. 74.&lt;/ref&gt;183 tanksref name=r74 refHeller, Charles. ''America's First Battles, 1776&#8211;1965''. 1986. University Press of Kansas. {{ISBN|0-7006-0277-1}}. p. 261.&lt;/ref&gt;ref{{cite web| url= http://www.europa1939.com/ww2/1943/kasserine.html| work= Portal Militar y Panzertruppen| title= Historia de las Fuerzas Armadas alemanas. Kasserine 1943| location= Columbia| accessdate= January 19, 2008| language= Spanish| archiveurl= https://web.archive.org/web/20080212040409/http://www.europa1939.com/ww2/1943/kasserine.html| archivedate= February 12, 2008| deadurl= yes| df= mdy-all}}&lt;/ref&gt;American ref name=""Calhoun p. 20""{{harvnb|Calhoun|2015|p=20}}&lt;/ref&gt;* 300 KIA* 3000 WIA* 3000 MIA",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"22,000ref name=r74 ","Including Sidi Bou Zid:2,00034 tanksref name=r74 "
{{flagicon|United States|1912}},{{flagicon|United States|1912}},,{{sfn|Anderson|1993|p|=|16}},{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},,
{{flag|United Kingdom}},{{flagicon|United Kingdom}},2 infantry divisions1 armoured division1 armoured brigade,130 casualties,{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},2 infantry divisions3 panzer divisions (understrength),635 casualties52 tanks
{{flag|United Kingdom}},{{flagicon|United Kingdom}},{{sfn|Stevens|1962|p|=|173}},"4,000 casualties",{{flagcountry|Kingdom of Italy}},{{flagicon|Kingdom of Italy}},{{sfn|Stevens|1962|p|=|173}},{{POW}}
{{flag|United States|1912}},{{flagicon|United States|1912}},,"25 tanks lost4,000–5,000 killed or wounded",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},,"40+ tanks lost4,000–6,000 killed or wounded in 3 weeks"
{{flag|United Kingdom}},{{flagicon|United Kingdom}},,"35 aircraft in aerial combatref name=""Levine 1999, p. 182""Levine 1999, p. 182.&lt;/ref&gt;",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},,"4 Savoia-Marchetti SM.82ref name=""Mark 1994, p. 48""Mark 1994, p. 48.&lt;/ref&gt;123ref name=""Mark 1994, p. 48""Mark 1994, p. 48.&lt;/ref&gt;—157ref name=""Levine 1999, p. 182""Levine 1999, p. 182.&lt;/ref&gt; Junkers Ju 52s21 Messerschmitt Me 323sref name=""Mark 1994, p. 48""Mark 1994, p. 48.&lt;/ref&gt;432 Axis aircraft to all causes in totalref name=""Levine 1999, p. 182""Levine 1999, p. 182.&lt;/ref&gt;"
{{flag|United Kingdom}},{{flagicon|United Kingdom}},,"36,200 sailors killedref name=""White 2008 2""{{cite book | title = Bitter Ocean: The Battle of the Atlantic, 1939&#8211;1945 | last = White | first = David | publisher = Simon &amp; Schuster | year = 2008 | page = 2 | isbn = 978-0-7432-2930-2 | location = New York, United States | ref = harv }}&lt;/ref&gt;ref name=""Bennett 2007 301""{{cite book| title = America: The Last Best Hope, Volume 2: From a World at War to the Triumph of Freedom 1914&#8211;1989 | last = Bennett |first = William J | authorlink = William J. Bennett |publisher = Nelson Current | year =  2007 |page=301 |isbn = 978-1-59555-057-6 | oclc = |location = United States }}&lt;/ref&gt;36,000 merchant seamen killedref name=""White 2008 2""ref name=""Bennett 2007 301""3,500 merchant vessels175 warships741 RAF Coastal Command Aircraft lost in anti-submarine sortiesref{{harvnb|Bowyer|1979|p=158}}&lt;/ref&gt;",{{flagcountry|Nazi Germany|1935}},{{flagicon|Nazi Germany|1935}},,{{flagicon|Nazi Germany|1935}}
{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany|naval}},One ''Panzerschiff'' (heavy cruiser) with 11·1 inch guns,One ''Panzerschiff'' scuttled36 dead60 wounded,{{flag|United Kingdom}},{{flagicon|United Kingdom|naval}},One heavy cruiser with 8 inch guns 2 light cruisers with 6 inch guns,"One heavy cruiser badly damagedtwo light cruisers damaged72 dead,  (''Achilles'' 4, ''Ajax'' 7,,  ''Exeter'' 61)28 wounded"
{{UK}},{{flagicon|United Kingdom}},File:Naval Ensign of the United Kingdom.svg|border|25px 3 destroyers,1 injured(presumably in friendly fire),{{flag|Nazi Germany}},File:Reichsdienstflagge_1935.svg|border|25px Heinrich Dau,File:Reichsdienstflagge_1935.svg|border|25px tanker ''German tanker Altmark|Altmark'',8 killedrefHaar p. 378. &lt;/ref&gt;5 seriously wounded5 slightly wounded
{{flag|Nazi Germany|naval}},Karl Dönitz,7 U-boats,None,File:Naval Ensign of the United Kingdom.svg|25px United Kingdom,Lachlan Donald Ian Mackinnon|L. D. I. Mackinnon,35 ships5 escorts,"{{GRT|79,592|disp|=|long}}"
{{flag|Nazi Germany|naval}},Theodor Krancke,1 heavy cruiser,None,File:Naval Ensign of the United Kingdom.svg|25px United Kingdom,Edward Stephen Fogarty Fegen|E.S.F. Fegen,38 merchant ships3 escorts (1 during attack),5 merchants sunk1 merchant damaged1 escort sunk(1 merchant sunk post-dispersal)
{{flag|United Kingdom}},{{flagicon|United Kingdom|naval}},1 auxiliary cruiser,74 killed~100 wounded195 captured1 auxiliary cruiser sunk,{{flag|Nazi Germany}},{{flagicon|Nazi Germany|naval}},1 auxiliary cruiser,none1 auxiliary cruiser damaged
Image:Naval Ensign of the United Kingdom.svg|25px United Kingdom,Convoy Commodore: WB MacKenzie RNREscort: Commander (Royal Navy)|Cdr Joe Baker-Cresswell|AJB Baker-CresswellBoarding Party: Sub-Lieutenant|Sub-Lt. David Balme,40 freighters3 Destroyers3 Corvettes2 Naval trawlers,"7 freighters sunk (35,315Gross register tonnage|GRT)40 killed/drowned2 freighters damaged",Image:War Ensign of Germany 1938-1945.svg|25px Nazi Germany|Germany,Admiral Karl Dönitz,4 submarines,1 submarine captured14 killed/drowned32 captured2 submarines damaged
{{Flag icon|Nazi Germany|naval}},{{flagicon|Nazi Germany|naval}},1 battleship1 heavy cruiser,"1 battleship damaged, 5 wounded",{{flag|United Kingdom|naval}},{{flagicon|United Kingdom|naval}},1 battleship1 battlecruiser2 heavy cruisersDid not participate in combat:6 destroyers (on approach detached evening before battle),"1 battlecruiser sunk1 battleship damaged1,428 dead9 wounded"
{{flag|United Kingdom}},{{flagicon|United Kingdom|naval}},1 aircraft carrier2 battleships3 cruisers6 destroyers,"1 light cruiser lightly damaged(3 killed, 2 wounded.)refGrove,  ''Battle Summary 5'', paragraph 26: Bismarck fired 6 38&amp;nbsp;cm salvos at HMS Sheffield and 38&amp;nbsp;cm splinters caused 5 casualties.&lt;/ref&gt;",{{flag|Nazi Germany}},{{flagicon|Nazi Germany|naval}},German battleship Bismarck|1 battleship,"1 battleship scuttled 2,200 deadref''Bismarck''&#8217;s complement as Fleet Flagship was 2220 (2092 + 128 Fleet staff) (Chesnau, p.224). For ''Operation Rheinubung'' she embarked over 100 supernumeraries, including merchant seamen to act as prize crews, cadets in training, and a film unit (Kennedy, p.33). The number of these supernumeraries, and hence the exact number of casualties, is unknown.&lt;/ref&gt;110 captured"
